,id,question,llm_answer,original_answer
265,53,Can I pre-order a product that is not yet available?,"Yes, you can pre-order a product that is listed as 'coming soon' and available for pre-order.","If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
266,53,What does it mean if a product is listed as 'coming soon'?,It means that the product is not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
267,53,Will I be charged immediately for a pre-order item?,You will be charged immediately for a pre-order item when you place the order to secure your item before it becomes available.,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
268,53,Can I cancel my pre-order for a 'coming soon' product?,"Sorry, I don't have an answer to that question.","If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
269,53,How do I know when my pre-ordered item will ship?,I am sorry but I don't have an answer to that question.,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
270,54,Can I return a discounted product?,"Yes, you can return a discounted product. The refund will be processed based on the amount paid after the discount.","Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount."
271,54,What happens if I use a discount code and want to return the item?,"If you use a discount code and want to return the item, you can still return the product. The refund will be processed based on the amount paid after the discount.","Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount."
272,54,Is it possible to get a refund on a product bought with a coupon?,"Yes, it is possible to get a refund on a product bought with a coupon. The refund will be processed based on the amount paid after the coupon discount.","Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount."
273,54,How is the refund calculated for discounted purchases?,The refund for discounted purchases is calculated based on the amount paid after the discount.,"Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount."
274,54,Are there any restrictions on returning items bought with a discount?,There are no restrictions on returning items bought with a discount.,"Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount."
275,55,Can I request a custom product?,We do not currently offer custom orders or personalized products. Please explore the available products on our website.,We do not currently offer custom orders or personalized products. Please explore the available products on our website.
276,55,Is it possible to get a personalized order?,We do not currently offer custom orders or personalized products. Please explore the available products on our website.,We do not currently offer custom orders or personalized products. Please explore the available products on our website.
277,55,Do you offer any customizations for products?,"I'm sorry, but we do not offer customizations for products at this time.",We do not currently offer custom orders or personalized products. Please explore the available products on our website.
278,55,Can I create a unique order for my needs?,"Yes, you can place a unique order for your needs by selecting from the available products on our website. Unfortunately, we do not offer custom orders or personalized products at this time.",We do not currently offer custom orders or personalized products. Please explore the available products on our website.
279,55,Are personalized products available on your website?,We do not currently offer custom orders or personalized products on our website.,We do not currently offer custom orders or personalized products. Please explore the available products on our website.
280,56,Can I purchase a product that is temporarily out of stock?,"If a product is currently out of stock, you can sign up for product notifications in order to be alerted when it becomes available again. We do not offer reservations for out-of-stock products.","If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications."
281,56,What does it mean if a product is listed as 'temporarily unavailable'?,"If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.","If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications."
282,56,Will products that are temporarily unavailable be available again?,"If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.","If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications."
283,56,How can I find out when a temporarily unavailable product is back in stock?,"To find out when a temporarily unavailable product is back in stock, you can check back later or sign up for notifications.","If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications."
284,56,Is there a way to get notifications for restocked products?,"Yes, you can sign up for product notifications to be informed when the item becomes available again.","If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications."
285,57,Can I return a product that was damaged upon arrival?,"Yes, you can return a product that was damaged upon arrival. Please contact our customer support team for assistance with the return and replacement process.",Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.
286,57,What should I do if I accidentally damaged my product?,"If you accidentally damaged your product, please contact our customer support team for assistance.",Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.
287,57,Are products damaged due to improper use returnable?,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.
288,57,Who can I contact for assistance with a return?,"I'm sorry, but I don't have an answer to that question.",Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.
289,57,Does your return policy cover all types of damage?,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.
290,58,Can I pre-order a product that is marked as 'coming soon'?,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
291,58,What should I do if the product I want is not available for pre-order?,"If the product you want is not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
292,58,Is there a way to request a 'coming soon' product before its release?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
293,58,When will a 'coming soon' product be available for purchase?,Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
294,58,What does it mean when a product is labeled as 'coming soon'?,"When a product is labeled as 'coming soon', it means that it is not currently available for purchase but will be released in the future.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
295,59,Can I purchase items that are on hold?,"If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available.","If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available."
296,59,What does it mean if a product is 'on hold'?,"If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available.","If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available."
297,59,How can I find out when a product that is on hold becomes available?,"If a product is on hold or temporarily unavailable, you can check back later or sign up for notifications to find out when it becomes available.","If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available."
298,59,Is there a way to be notified when an on-hold product is restocked?,"Yes, you can be notified when an on-hold product is restocked by signing up for product notifications.","If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available."
299,59,Why can't I order a product that is on hold?,"If a product is on hold, it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available.","If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available."
300,60,Can I return an item without my receipt?,A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.,"While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance."
301,60,What should I do if I lost my original receipt?,"If you lost your original receipt, you should contact our customer support team for further guidance on how to proceed with a return.","While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance."
302,60,Is it possible to return a product if I don't have proof of purchase?,A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.,"While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance."
303,60,Who should I contact for help with a return without a receipt?,"I'm sorry, but I don't have an answer to that question. Please contact our customer support team for assistance with a return without a receipt.","While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance."
304,60,Will I be able to return a product if I misplaced my receipt?,"While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance.","While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance."
305,61,Can I request a limited edition product to be restocked?,"Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available.","Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available."
306,61,Are limited edition items available for a long time?,"Limited edition items are available for a limited time only, so they may not be available for a long time. It is recommended to place an order as soon as possible to secure the item.","Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available."
307,61,What happens when a limited edition product sells out?,"When a limited edition product sells out, it may not be restocked. Limited edition items are available for a limited time only, so it is recommended to purchase them while they are available.","Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available."
308,61,How can I ensure I get a limited edition product?,"To ensure you get a limited edition product, we recommend placing an order as soon as possible to secure your item. Limited edition items may have restricted availability, so it's best to purchase them while they are still available.","Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available."
309,61,Why are limited edition products only available for a limited time?,"Limited edition products are only available for a limited time because they are meant to be exclusive and rare. Once they are sold out, they may not be restocked.","Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available."
310,62,Can I still order a discontinued product?,Discontinued products are no longer available for purchase. We recommend exploring alternative products on our website.,"If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification."
311,62,What should I do if a product is discontinued but visible online?,"If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification.","If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification."
312,62,Is it possible to purchase items listed as discontinued?,Discontinued products are no longer available for purchase. We recommend exploring alternative products on our website.,"If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification."
313,62,How can I get clarification on a discontinued product?,"I'm sorry, but if a product is listed as 'discontinued,' it is no longer available for purchase, and we do not have clarification on discontinued products. We recommend exploring alternative products on our website.","If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification."
314,62,What does it mean if a discontinued item is still on the website?,"If a discontinued item is still on the website, it may be an error. Please contact our customer support team for clarification.","If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification."
315,63,Can clearance items be returned?,"Yes, clearance items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.",Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.
316,63,"What about final sale items, can I return them?",Final sale items are usually non-returnable and non-refundable. Please review the product description or contact our customer support team to confirm the return eligibility for specific items.,Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.
317,63,Are products on clearance refundable?,Clearance or final sale items are typically non-returnable and non-refundable.,Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.
318,63,How can I get more information about returns on sale items?,You can find more information about returns on sale items by reviewing the product description or contacting our customer support team.,Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.
319,63,What should I do if I want to return a clearance item?,"If you want to return a clearance item, please review the product description or contact our customer support team for more information as clearance or final sale items are typically non-returnable and non-refundable.",Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.
320,64,Can I order a product that I don't see on your website?,"If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.","If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance."
321,64,What should I do if the product I want isn't listed online?,"If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.","If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance."
322,64,Is it possible to get a product that isn't available on your site?,"If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.","If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance."
323,64,How can I find out about products not listed on your website?,"If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.","If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance."
324,64,Who should I contact if I need a product that is not shown on your website?,"If a product is not shown on our website, we recommend contacting our customer support team for further assistance.","If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance."
325,65,Can I place an order for an out-of-stock item?,"If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.","If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
326,65,What does it mean if a product is available for backorder?,"When a product is available for backorder, it means that the item is temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.","If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
327,65,Will I be charged immediately for an out-of-stock item on backorder?,"Yes, if you order an out-of-stock item on backorder, you will be charged immediately to secure your item.","If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
328,65,How will I know when my backordered item is shipped?,"I'm sorry, but I don't have an answer to that question.","If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
329,65,Can I cancel my backorder if I change my mind?,"I'm sorry, but I don't have an answer to that question. Please contact our customer support team for assistance with cancelling a backorder.","If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
330,66,Can I return a product purchased in a bundle?,"If a product was purchased as part of a bundle, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.","If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance."
331,66,What is the return policy for items in a set?,"I'm sorry, but I don't have an answer to the question about the return policy for items in a set.","If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance."
332,66,Are there specific terms for returning bundled products?,"Yes, there may be specific terms for returning bundled products. The return policy may vary for products purchased as part of a bundle or set. It is recommended to refer to the specific terms and conditions or contact customer support for further guidance.","If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance."
333,66,How can I find out about the return policy for a set purchase?,"To find out about the return policy for a set purchase, you can return products within 30 days of purchase for a full refund, as long as they are in their original condition and packaging. Please refer to our Returns page for detailed instructions.","If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance."
334,66,Who do I contact for guidance on returning a bundle?,You can contact our customer support team for guidance on returning a bundle.,"If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance."
335,67,Can I request a product that is out of stock to be restocked?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.,We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.
336,67,How can I be notified when an out of stock product is available again?,"To be notified when an out of stock product is available again, you can sign up for product notifications on our website.",We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.
337,67,Will you restock popular products that are currently out of stock?,"Yes, we strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.",We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.
338,67,Is there a way to sign up for alerts on restocked items?,"Yes, you can sign up for product notifications to be informed when the item becomes available again.",We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.
339,67,What should I do if I want to know when an out of stock product is back in stock?,"If you want to know when an out of stock product is back in stock, you should sign up for product notifications. This way, you will be alerted when the product becomes available again.",We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.
340,68,Can I place an order for a product that is not yet released?,Products that are listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
341,68,What does it mean if a product is labeled as 'coming soon'?,"If a product is labeled as 'coming soon', it means that it is not available for purchase immediately. Customers can sign up for notifications to be informed when the product becomes available for purchase.","If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
342,68,Is pre-ordering available for items that are 'coming soon'?,"Yes, pre-ordering is available for items that are listed as 'coming soon'.","If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
343,68,How can I secure an item that is listed as 'coming soon'?,"I'm sorry, but I don't have an answer to that question.","If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
344,68,Will I be able to order a product before it is officially available?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.","If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
345,69,What should I do if my product arrived damaged?,"If your product arrived damaged, please contact our customer support team immediately. We will guide you through the return and replacement process.","If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement."
346,69,Is there a process for returning a damaged product?,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.,"If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement."
347,69,Who do I contact if my item is damaged during shipping?,"If your item is damaged during shipping, please contact our customer support team immediately for assistance.","If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement."
348,69,Can I get a replacement for a product damaged in transit?,"Yes, if you receive a damaged product due to transit, you can contact our customer support team for assistance with the necessary steps for repair or replacement.","If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement."
349,69,What are the steps to return a mishandled product?,"If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. They will assist you with the necessary steps for return and replacement.","If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement."
350,70,Can I reserve a product that is out of stock?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.","We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again."
351,70,What should I do if a product is not available?,"If a product is not available, you can check back later to see if it has been restocked or sign up for notifications to be alerted when it becomes available again.","We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again."
352,70,Is it possible to get notified when an out-of-stock item is back?,"Yes, it is possible to get notified when an out-of-stock item is back by signing up for product notifications on our website.","We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again."
353,70,Can I hold a product that is currently unavailable?,"Sorry, but you cannot hold a product that is currently unavailable. If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.","We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again."
354,70,Will I be alerted when a previously out-of-stock product is restocked?,"Yes, you can sign up for product notifications to be alerted when a previously out-of-stock product is restocked.","We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again."
355,71,Can I place an order for a pre-order product that is available for backorder?,"Yes, if a product is listed as 'pre-order' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.","If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
356,71,What happens if I order a product that is marked as pre-order?,"If you order a product that is marked as pre-order, the item will be shipped to you once it becomes available.","If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
357,71,When will my backordered pre-order item be shipped?,"I'm sorry, but I don't have an answer to when your backordered pre-order item will be shipped.","If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
358,71,Is it possible to secure an item listed as pre-order?,"Yes, it is possible to secure an item listed as pre-order by placing an order for it.","If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
359,71,Do I have to wait for a pre-order item to be available before I can order it?,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.","If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
360,72,Can I return an item bought with store credit?,"Yes, you can return an item bought with store credit. The refund will be issued in the form of store credit which you can use for future purchases.","Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases."
361,72,What happens if I return a product purchased with store credit?,"If you return a product purchased with store credit, the refund will be issued in the form of store credit which you can use for future purchases.","Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases."
362,72,Will I get cash back if I return something bought with store credit?,"Yes, if you return something bought with store credit, you will receive store credit as a refund which you can use for future purchases.","Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases."
363,72,Is it possible to return store credit purchases?,"Yes, you can return store credit purchases. The refund will be issued in the form of store credit, which you can use for future purchases.","Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases."
364,72,How will I receive my refund if I return an item bought with store credit?,"I'm sorry, but I don't have an answer to that question.","Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases."
365,73,Can I ask to have an out-of-stock product restocked?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.
366,73,What should I do if a product I want is out of stock?,"If a product you want is out of stock, you can sign up for product notifications to be alerted when it becomes available again. We do not offer reservations for out-of-stock products.",We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.
367,73,Is there a way to be notified when a product is back in stock?,"Yes, you can be notified when a product is back in stock by signing up for product notifications.",We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.
368,73,Do you restock popular products?,"Yes, we strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.",We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.
369,73,How can I find out when an out-of-stock item is available again?,"To find out when an out-of-stock item is available again, you can sign up for product notifications to be alerted when it becomes available again. We do not offer reservations for out-of-stock products.",We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.
370,74,Can I place an order for a sold-out product that is available for pre-order?,"If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.","If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available."
371,74,What happens if I order a product that is sold out?,"If you order a product that is sold out, it means the product is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.","If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available."
372,74,Will I receive my item immediately if I pre-order a sold-out product?,"If you pre-order a sold-out product, the item will be shipped once it becomes available. You will not receive it immediately.","If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available."
373,74,Is it possible to secure a sold-out item by pre-ordering it?,"Yes, it is possible to secure a sold-out item by pre-ordering it. The product will be shipped to you once it becomes available.","If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available."
374,74,When will my pre-ordered item be shipped?,"I'm sorry, but I don't have information on when pre-ordered items will be shipped.","If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available."
375,75,Can I return a product bought using a promotional gift card?,"Yes, you can return a product bought using a promotional gift card. The refund will be issued in the form of store credit or a new gift card.","Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card."
376,75,What happens to my refund if I used a promotional gift card?,The refund will be issued in the form of store credit or a new gift card if you used a promotional gift card for the purchase.,"Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card."
377,75,Is it possible to get cash back for a return made with a promotional gift card?,"Yes, it is possible to get cash back for a return made with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.","Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card."
378,75,Will I receive store credit if I return a product purchased with a promotional gift card?,"Yes, if you return a product purchased with a promotional gift card, you will receive store credit as a refund.","Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card."
379,75,How will my refund be processed if I used a promotional gift card for my purchase?,"If you used a promotional gift card for your purchase and need a refund, it will be processed in the form of store credit or a new gift card.","Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card."
380,76,What should I do if a product is not available in the color I want?,"If a product is not available in the color you want, it may be temporarily out of stock. Please check back later or sign up for color notifications.","If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications."
381,76,Can I sign up for notifications if my preferred color is out of stock?,"Yes, you can sign up for color notifications if your preferred color is out of stock.","If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications."
382,76,Is it possible to request a product in a color that is currently unavailable?,"If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.","If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications."
383,76,How do I know when my preferred color of a product becomes available?,"answer: If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.","If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications."
384,76,Will you restock products in colors that are currently out of stock?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.,"If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications."
385,77,Can I purchase a product that is marked as 'coming soon'?,Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
386,77,What happens if a product is not available for pre-order?,"If a product is not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
387,77,Is it possible to buy a product before its official release?,"Yes, it is possible to buy a product before its official release if it is listed as 'coming soon' and available for pre-order.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
388,77,How do I know when a 'coming soon' product will be available?,"If a product is listed as 'coming soon', you can sign up for notifications to be informed when the product becomes available.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
389,77,What should I do if I want a product that is not available yet?,"If a product is not available yet, you can check back later or sign up for notifications to be alerted when it becomes available.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
390,78,Can I return an item bought on sale?,"Yes, you can return an item bought on sale. The refund will be processed based on the amount paid after the discount.","Yes, you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts."
391,78,What is the refund policy for promotional purchases?,The refund policy for promotional purchases states that you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts.,"Yes, you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts."
392,78,Are promotional items eligible for return?,"Yes, promotional items are eligible for return. The refund will be processed based on the amount paid after any applicable discounts.","Yes, you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts."
393,78,How is the refund calculated for items bought during promotions?,The refund for items bought during promotions will be calculated based on the amount paid after any applicable discounts.,"Yes, you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts."
